Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C180674,C587,CD122-selective IL-2/Anti-CD25 Antibody-like Fusion Protein ANV419|ANV 419|ANV-419|ANV419|Antibody-like Fusion Protein ANV419|CD122-selective IL-2/Anti-IL-2Ra Antibody Fusion Protein ANV419,"A formulation consisting of lipid nanoparticles (LNPs) encapsulating nucleoside-modified messenger RNA (mRNA) encoding the endogenous cytokine interleukin-2 (IL-2), with potential immunostimulating activity. Upon administration, ribocytokine IL-2 BNT153 is taken up by cells and the expressed IL-2 targets and binds to the IL-2 receptor beta subunit (IL2Rb; IL2Rbeta; CD122). The binding of IL-2 to IL2Rb activates IL2Rb-mediated signaling, which activates cytotoxic T-lymphocytes (CTLs) and natural killer (NK) cells, and induces expression of certain cytotoxic cytokines, such as interferon-gamma (IFNg) and transforming growth factor-beta (TGFb). The specific induction of T-cell-mediated cytotoxic immune responses against tumor cells causes tumor cell destruction. IL2Rb plays a key role in the proliferation and activation of effector T-cells.",,"Amino Acid, Peptide, or Protein|Immunologic Factor",GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C180692,C177176,Nanoparticles Encapsulating TLR7 Agonist 1v270 MBS8|DOPE-PEG2000/1v270 Micelles MBS8|MBS 8|MBS-8|MBS8|MBS8(1V270)|TLR7 Agonist 1v270-containing Micelles MBS8,"A micelle nanoparticle formulation composed of the Toll-Like receptor 7 (TLR7) agonist phospholipid conjugate 1v270 encapsulated within 1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine (DOPE)-polyethylene glycol (PEG)-2000, with potential immunostimulating activity. Upon intravenous administration of the nanoparticles encapsulating TLR7 agonist 1v270 MBS8, the TLR7 agonist targets, binds to and activates TLR7, thereby stimulating dendritic cells (DCs) and neutrophils, and enhancing natural killer cell (NK) cytotoxicity. This activation results in the production of pro-inflammatory cytokines, including interferon alpha. MBS8 may activate cytotoxic T-lymphocyte (CTL)-mediated anti-tumor immune responses leading to tumor cell lysis. In addition, MBS8 is able to stimulate immune memory T-cells to further recognize and eliminate cancer cells. TLR7 is a member of the TLR family, which plays a fundamental role in pathogen recognition and the activation of innate immunity. The micelle formulation was engineered to reduce systemic cytokine production which may lower systemic toxicity. production which may lower systemic toxicity.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C181141,C172787|C1663,mRNA Cancer Vaccine|mRNA Antineoplastic Vaccine|mRNA-based Cancer Vaccine|mRNA-derived Cancer Vaccine,Any mRNA-based cancer vaccine.,,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",
C184380,C129821,Anti-TGF-beta 1/Anti-COX-2 siRNAs STP707|Anti-TGF-beta 1/Anti-COX-2 siRNA Oligonucleotides STP707|Anti-TGF-beta 1/COX-2 siRNAs STP707|STP 707|STP-707|STP707,"A polypeptide nanoparticle (PNP)-based therapeutic comprised of two small interfering RNA (siRNA) oligonucleotides directed against transforming growth factor-beta 1 (TGF-beta 1) and cyclo-oxygenase-2 (COX-2), with potential immunomodulating and antineoplastic activities. Upon intravenous administration, anti-TGF-beta 1/anti-COX-2 siRNAs STP707 binds to both TGF-beta 1 and COX-2 messenger RNAs (mRNAs), preventing the translation and expression of TGF-beta 1 and COX-2 proteins. This inhibits TGF-beta 1-mediated signaling and abrogates TGF-beta 1-mediated immunosuppression, which may enhance anti-tumor immunity in the tumor microenvironment (TME) and promote a cytotoxic T-lymphocyte (CTL)-mediated immune response against tumor cells leading to tumor cell death. The inhibition of COX-2 prevents COX-2-mediated signaling, which may result in apoptosis and a reduction in tumor cell proliferation, tumor angiogenesis and metastasis.",Anti-TGF-beta 1/Anti-COX-2 siRNAs STP707,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C185869,C181141,Lipid Nanoparticle-encapsulated EBV mRNA Vaccine mRNA-1189|Anti-EBV mRNA Vaccine mRNA-1189|LNP-encapsulated EBV mRNA Vaccine mRNA-1189|LNP-encapsulated mRNA-based EBV Vaccine mRNA-1189|mRNA 1189|mRNA-1189|mRNA1189,"A vaccine consisting of a lipid nanoparticle (LNP) encapsulating four messenger RNAs (mRNAs) encoding the Epstein-Barr Virus (EBV) envelope glycoproteins gp42, gp220, gH and gL, with potential immunizing activity against EBV. Upon intramuscular administration of LNP-encapsulated EBV mRNA vaccine mRNA-1189, the LNP binds to the plasma membrane of cells and releases the mRNAs into the cells. The mRNAs are then translated by ribosomes to produce the EBV envelope glycoproteins. This may activate both humoral and cellular immune responses which may result in protection against EBV infection. EBV, a ubiquitous human herpes virus, is associated with infectious mononucleosis and various malignancies, including nasopharyngeal carcinoma, Hodgkin disease, non-Hodgkin lymphoma, and other lymphomas.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C186664,C274,Cytotoxic Chemotherapeutic Agent|Antineoplastic Cytotoxic Agent|Cytotoxic Antineoplastic Agent|Cytotoxic Chemotherapy Agent,"Any chemotherapeutic agent that is cytotoxic in nature and non-specifically kills rapidly proliferating cells, including tumor cells. This includes cytotoxic agents that are modified or formulated in such a way as to more specifically target tumor cells but for which the fundamental cytotoxic mechanism of action (MoA) has not changed. Targeted therapy agents that have antineoplastic MoAs are not included.",,Chemical Viewed Functionally|Pharmacologic Substance,
C187021,C2843|C200114,Pasifolate Exatecan|EC112002|ELU 001|ELU-001|ELU001|FA-CDC ELU001|FR-alpha-targeting CDC ELU001|FR-alpha-targeting Ultrasmall Silica Nanoparticle-drug Conjugate ELU001|Folate-receptor Alpha-targeting C'Dot-drug Conjugate ELU001|Folate-receptor Alpha-targeting Ultrasmall Silica Nanoparticle-drug Conjugate ELU001|Folic-acid Functionalized C'Dot-drug-conjugate ELU001|PASIFOLATE EXATECAN,"A conjugate composed of folic acid analogs and exatecans covalently bound by linkers to the ultrasmall silica-based nanoparticle carrier C'Dot, with potential antineoplastic activity. Upon administration, pasifolate exatecan targets and binds to the human folate receptor 1 (FOLR1; FR-alpha) on FR-alpha-expressing tumor cells. Upon internalization, the camptothecin analog exatecan is released via proteolytic cleavage of the linker and inhibits DNA topoisomerase 1 activity, thereby inhibiting DNA replication and resulting in cell cycle arrest and apoptosis in tumor cells expressing FR-alpha. FR-alpha is a high-affinity folate-binding protein and a member of the folate receptor family; it is overexpressed in various cancer cell types.",Pasifolate Exatecan,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187033,C1291,Akt-1 Antisense Oligonucleotide WGI-0301|Akt-1 AS ODN WGI-0301|Akt-1 Antisense ODN WGI-0301|WGI 0301|WGI-0301|WGI0301,"A lipid nanoparticle preparation of archexin, a 20-mer antisense (AS) oligodeoxynucleotide (ODN) against the proto-oncogene Akt, with potential antineoplastic activity. Upon administration of AS ODN WGI-0301, archexin binds to Akt-1 mRNA, inhibiting translation of the transcript. Suppression of Akt-1 expression may result in the inhibition of the phosphatidylinositol 3-kinase (PI3K)/Akt-mediated signaling. This may inhibit proliferation and induce apoptosis of tumor cells in which Akt-1 is overexpressed. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187083,C29726|C177430,Nanoparticle Formulation CPI-300|CPI 300|CPI-300|CPI300|NCP Platform-based CPI-300|Nanoscale Coordination Polymer-based Formulation CPI-300,"A nanoparticle-based formulation composed of a nanoscale coordination polymer (NCP) complex containing two as of yet undisclosed anti-tumor agents, with potential antineoplastic activities. Upon intravenous administration, nanoparticle formulation CPI-300 delivers the anti-tumor agents to tumor cells, which may lead, through as of yet undisclosed mechanism of actions (MoAs), to specific tumor cell killing and inhibition of proliferation of tumor cells.",Nanoparticle Formulation CPI-300,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCIt Antineoplastic Agent Terminology
C187116,C2843,Polymeric Nanoparticle-conjugated Camptothecin DAN-222|DAN 222|DAN-222|DAN222|Polymeric Nanoparticle-containing Camptothecin DAN-222|Polymeric Nanoparticles DAN-222,"A polymeric nanoparticle formulation of the topoisomerase I inhibitor camptothecin (CPT), an alkaloid isolated from the Chinese tree Camptotheca acuminata, covalently conjugated, via a linker, to a biocompatible polymer scaffold, with potential antineoplastic activity. Upon intravenous administration of polymeric nanoparticle-conjugated CPT DAN-222, the nanoparticles accumulate in tumor tissue and CPT is released from the formulation at the tumor site and taken up by tumor cells. During the S phase of the cell cycle, CPT selectively stabilizes topoisomerase I-DNA covalent complexes, thereby inhibiting religation of topoisomerase I-mediated single-strand DNA breaks and producing potentially lethal double-strand DNA breaks when encountered by the DNA replication machinery. Compared to CPT alone, the nanoparticle formulation has a prolonged half-life and greatly improves the biodistribution of CPT resulting in an accumulation of CPT at the tumor site, which enhances tumor exposure while greatly reducing toxic side effects.",Polymeric Nanoparticle-conjugated Camptothecin DAN-222,Organic Chemical|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187124,C211940|C201282|C129822,mRNA-encoded Anti-CD3/Anti-CLDN6 Bispecific Antibody BNT142|Anti-CD3/Anti-CLDN6 mRNA-encoded Antibody BNT142|BNT 142|BNT-142|BNT142|CD3 x CLDN6 mRNA-encoded Antibody BNT142|CD3xCLDN6 RiboMAB-encoding mRNA BNT142|RiboMab BNT142|rMAB BNT142,"A lipid nanoparticle (LNP) encapsulating nucleoside-modified messenger RNA (mRNA) encoding for bispecific antibody directed against the tumor-associated antigen (TAA) Claudin 6 (CLDN6; CLDN-6) and the human T-cell surface antigen CD3, with potential immunostimulating and antineoplastic activities. Upon administration, mRNA-encoded anti-CD3/anti-CLDN6 bispecific antibody BNT142 binds to the plasma membrane of cells and releases the mRNA into the cells. The mRNA is translated and the anti-CD3/anti-CLDN6 bispecific antibody binds to both CD3-expressing T-cells and CLDN6-expressing cancer cells, thereby crosslinking CLDN6-expressing tumor cells and cytotoxic T-lymphocytes (CTLs). This results in the activation and proliferation of T-cells and causes CTL-mediated cell lysis of CLDN6-expressing tumor cells. CLDN6, a transmembrane tight-junction protein and embryonic antigen, is overexpressed on a variety of tumor cells but is not expressed on normal, healthy adult cells.",mRNA-encoded Anti-CD3/Anti-CLDN6 Bispecific Antibody BNT142,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1892,C1909,Chemopreventive Agent,"A natural or synthetic substance, such as a drug, vitamin, hormone, plant product or food supplement, that may reduce the risk of developing or recurrence of tumor formation. Chemopreventive agent may work at different stages and may inhibit the initiation, promotion, transformation, and/or progression of the malignant process.",,Chemical Viewed Functionally,
C190153,C129821,Lipid Nanoparticle Encapsulated MYC-targeting mRNA-based Agent OTX-2002|LNP Encapsulated MYC-targeting mRNA-based Agent OTX-2002|OTX 2002|OTX-2002|OTX2002,"A lipid nanoparticle (LNP)-based formulation consisting of a biscistronic mRNA that encodes two independent epigenomic controllers targeting the proto-oncogene MYC (c-Myc), with potential antineoplastic activity. Upon administration of LNP encapsulated MYC-targeting mRNA-based agent OTX-2002, the lipid formulation promotes the uptake by tumor cells. The biscistronic mRNA is then translated by the cellular protein translation machinery to produce two independent epigenomic controllers consisting of a DNA binding domain and an epigenetic effector protein. The two epigenomic controllers bind to regulatory regions on the MYC insulated genomic domain (IGD), a DNA loop bound by CTCF (CCCTC-binding factor). This downregulates MYC expression pre-transcriptionally, which may inhibit proliferation in susceptible tumor cells. MYC, a proto-oncogene overexpressed in a variety of cancers, plays a role in the regulation of transcription and cell proliferation.",Lipid Nanoparticle Encapsulated MYC-targeting mRNA-based Agent OTX-2002,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C190391,C61199|C1962|C129820,Lipid Nanoparticle Encapsulated Self-replicating RNA Encoding Human IL-12 JCXH-211|JCXH 211|JCXH-211|JCXH211|LNP Encapsulated srRNA Encoding Human IL-12 JCXH-211,"A formulation consisting of lipid nanoparticle (LNP) encapsulating self-replicating RNA (srRNA) encoding human interleukin-12 (IL-12), with potential immunomodulatory and antineoplastic activities. Upon intratumoral injection of LNP encapsulated srRNA encoding human IL-12 JCXH-211, the LNPs bind to the plasma membrane of nearby tumor cells and release srRNA encoding IL-12 into the tumor cells. The srRNA amplifies within the tumor cells, and is translated by the cellular protein translation machinery to produce IL-12, which is secreted into the local tumor microenvironment (TME). The secretion of IL-12 activates the immune system by promoting the secretion of interferon-gamma (IFN-g), activating natural killer cells (NKs), and inducing cytotoxic T-lymphocyte (CTL) responses, which may enhance immune-mediated destruction of tumor cells and decrease tumor cell proliferation. In addition, the virus-based RNA replicon may trigger anti-viral innate immune responses, further killing tumor cells.",Lipid Nanoparticle Encapsulated Self-replicating RNA Encoding Human IL-12 JCXH-211,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1904,C1748,Topoisomerase-I Inhibitor|Topoisomerase-I Inhibitors,"Any substance that inhibits topoisomerase-I, a topoisomerase that relieves torsional stress in a DNA molecule by cutting only one strand of the DNA double helix. Inhibition of topoisomerase-I causes DNA damage, inhibition of DNA replication, and apoptosis.",Topoisomerase-I Inhibitor,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C190739,C61078,Nab-paclitaxel/Danburstotug Complex AP160|AP 160|AP-160|AP160|Nab-paclitaxel/STI-3031 Complex AP160,"A formulation composed of nanoparticle albumin-bound (nab) paclitaxel, which is an albumin-stabilized nanoparticle containing the natural taxane paclitaxel, complexed with danburstotug, a human monoclonal antibody directed against the immunosuppressive ligand programmed cell death-1 ligand 1 (PD-L1; cluster of differentiation 274; CD274), with potential antineoplastic activity. Upon administration of nab-paclitaxel/danburstotug complex AP160, the danburstotug moiety specifically binds to PD-L1 and targets this formulation to PD-L1-positive tumor cells. In turn, paclitaxel binds to and stabilizes microtubules, which prevents depolymerization and inhibits cellular motility, mitosis, and replication. This leads to cell death of PD-L1-expressing tumor cells that were targeted by this agent. The combination of albumin-stabilization and targeting by the danburstotug moiety allows for higher efficacy and decreased paclitaxel-induced toxicity as it specifically targets PD-L1-expressing tumor cells. PD-L1 is overexpressed by many human cancer cell types.",Nab-paclitaxel/Danburstotug Complex AP160,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1907,C1909,"Drug, Natural Product|Drug Derived from Natural Products","Any drug derived from microorganisms, plants, or animals; also, synthesized versions of these substances or their derivatives.",,Chemical Viewed Functionally,
C1908,,"Drug, Food, Chemical or Biomedical Material","An organic or inorganic substance, element, isotope, food or other materials derived from microorganism, plant, or animal sources. They can be used for the prevention, diagnosis, treatment or research of disease states, for industrial purposes, or for the promotion or maintenance of organism viability or health.",,Classification,
C1909,C1908,Pharmacologic Substance|Agent|DRUG|Drug|Drug|Drug|Drug|Drug Substance|Pharmaceutical Agent|Pharmaceuticals|Pharmacologic Agent|Pharmacological Substance|Therapeutic Agent|drug|drug|therapeutic agents|therapeutic_agents,"Any natural, endogenously-derived, synthetic or semi-synthetic compound with pharmacologic activity. A pharmacologic substance has one or more specific mechanism of action(s) through which it exerts one or more effect(s) on the human or animal body. They can be used to potentially prevent, diagnose, treat or relieve symptoms of a disease. Formulation specific agents and some combination agents are also classified as pharmacologic substances.",,Pharmacologic Substance,BRIDG Class Terminology|BRIDG Terminology|CDISC Glossary Terminology|CDISC Protocol Terminology|CDISC SDTM Intervention Type Terminology|CDISC SDTM Terminology|Clinical Data Interchange Standards Consortium Terminology|CRF4 Treatment Chemotherapy Table|CRF4 Treatment Steroids during Radiation Table|CRF4 Treatment Steroids during Re-Irradiation Table|GDC Property Terminology|GDC Terminology|NICHD Terminology|Pediatric Immunization Terminology
C1913,C1908,Drug or Chemical by Structure,Substances that are grouped or classified by chemical composition.,,Classification,
C1916,C718,Nitrogen Compound,Organic or inorganic compounds that contain nitrogen as an integral part of the molecule.,,Chemical Viewed Structurally|Organic Chemical,
C1931,C274|C1907,Antineoplastic Plant Product,Plant-derived compound used to treat cancer.,,Chemical Viewed Functionally,
C1932,C1908,Chemical Modifier|Modifier,A chemical that influences the properties of another chemical or biological function. (NCI),,Chemical Viewed Functionally,
C1934,C2122,Differentiation Inducer|Differentiating Agents|Differentiation Agents,"An agent that induces the differentiation or maturation of cells, specifically neoplastic cells, resulting in decreases in tumor growth and metastasis. (NCI04)",,Chemical Viewed Functionally,
C1937,C802,Diagnostic Reagent,Any reagent that is used in vitro or in vivo for detection or screening of a particular disease or any health-related issue.,,"Indicator, Reagent, or Diagnostic Aid",
C1941,C1283,Recombinant Tumor Necrosis Factor Family Protein|TNF|Tumor Necrosis Factor Family Protein|Tumor Necrosis Factors|tumor necrosis factor,"A recombinant therapeutic agent which is chemically identical to or similar to one of a number of endogenous tumor necrosis factor (TNF) proteins. TNF family cytokines bind to and activate specific cell-surface receptors, thereby mediating inflammatory processes, cell proliferation, immunity, angiogenesis, and tumor cell cytotoxicity. One primary antitumor effect of TNFs involves stimulation of T cell-mediated antitumor cytotoxicity.",Recombinant Tumor Necrosis Factor Family Protein,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1946,C471,Histone Deacetylase Inhibitor|HDAC Agent|HDAC inhibitor|histone deacetylase inhibitor,"Any substance that inhibits histone deacetylase, an enzyme that catalyzes the removal of acetyl groups from core histones. Inhibition of histone deacetylase can result in hyperacetylation of histones, with an effect on gene expression and cell differentiation.",,Chemical Viewed Functionally,
C1962,C307,Gene Therapy Agent|Gene Therapy,DNA constructs or co-administered agents used in gene therapy. Gene therapy constructs are used in delivery of genetic material into cells in order to permanently correct an inherited disease or an acquired disease such as cancer.,Gene Therapy Agent,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C1966,C802,Imaging Agent|Image Enhancement Agent,A compound that enables or improves the visualization of body structures or functions for medical imaging.,Imaging Agent,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology
C1968,C1748,Topoisomerase-II Inhibitor|Topoisomerase-II Inhibitors,"Any substance that inhibits topoisomerase-II, a topoisomerase that relieves torsional stress in a DNA molecule by cutting both strands of the DNA double helix. A topoisomerase II inhibitor can either stabilize the DNA-protein complex or inhibit the catalytic activity of the enzyme. Inhibition of topoisomerase-II causes DNA damage, inhibition of DNA replication, and apoptosis.",,Chemical Viewed Functionally,
C19711,C17005,Professional Organization or Group|ORG|Organization|Organization|Organization|Organization|Organizational|Other Agency or Organization|Outside Bodies,A formal group of people that exists to further a particular profession.,,Professional or Occupational Group,BRIDG Class Terminology|BRIDG Terminology|CDISC DDF Entities Terminology|CDISC DDF Terminology|Clinical Data Interchange Standards Consortium Terminology
C19729,C19980,NCI-Designated Comprehensive Cancer Center|Comprehensive Cancer Center,"NCI-designated Comprehensive Cancer Centers conduct research and provide services directly to cancer patients. These facilities must demonstrate expertise in each of three areas: laboratory, clinical, and behavioral and population-based research. Comprehensive Cancer Centers are expected to initiate and conduct early-phase, innovative clinical trials and to participate in the NCI's cooperative groups by providing leadership and recruiting patients for trials. Comprehensive Cancer Centers must also conduct activities in outreach and education, and provide information on advances in health care for both health care professionals and the public.",,Health Care Related Organization,
C198655,C1511,Copper 64 Cu-labeled Macrophage-targeted Nanoparticle|64Cu-Macrin|64Cu-labeled Macrin|Copper 64 Cu-labeled Macrin|[64]Cu-Macrin,"A radioconjugate composed of macrophage-targeted polyglucose nanoparticle, labeled with the radioisotope copper Cu 64, with potential use as a tracer for macrophages including tumor-associated macrophages (TAMs) during positron emission tomography (PET). Upon administration of copper Cu 64-labeled macrophage-targeted nanoparticle, the macrophage-targeted nanoparticle is taken up by macrophages, including TAMs in the tumor microenvironment (TME). Upon PET imaging, the macrophages can be detected. The accumulation of macrophages is present in various inflammatory diseases and tumors.",Copper 64 Cu-labeled Macrophage-targeted Nanoparticle,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C199143,C19711,Professional Healthcare Organization or Group,A formalized group of individuals focused on aspect(s) of healthcare.,,Professional or Occupational Group,
C19975,C199143,"Consortium or Network|Centers, Networks, and Consortia|Consortium|NCI Consortium or Network|Network",Groups of scientists who link their expertise and resources in collaborative efforts to address important questions of shared interest.,,Professional or Occupational Group,
C19980,C19975,NCI-Designated Cancer Center|Cancer Center|Cancer Centers,"Facilities designated Cancer Centers generally conduct a combination of basic, population sciences, and clinical research, and are encouraged to stimulate collaborative research involving more than one field of study. Several of these centers conduct only laboratory research and do not provide patient care. The NCI-designated Cancer Centers that do provide patient care are also expected to conduct early-phase, innovative clinical trials and to participate in the NCI Cooperative Group Program.",,Health Care Related Organization|Professional or Occupational Group,
C200114,C163758,FOLR1-targeting Agent|FRa-targeting Agent|Folate Receptor Alpha-targeting Agent,Any agent targeting folate receptor alpha (FRa; FolRa; FOLR1).,FOLR1-targeting Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C200250,C163758,CLDN18.2-targeting Agent|Claudin 18.2-targeting Agent,Any agent that targets claudin 18.2 (CLDN18.2; A2 isoform of claudin-18).,CLDN18.2-targeting Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C200369,C2124,Copper Cu 64 NODAGA-TTX-MC138|64Cu-NODAGA-TTX-MC138|Cu-64 labeled TTX-MC138|TTX-MC138-NODAGA-Cu64,"A radioconjugate comprised of the microRNA-10b (miR-10b)-inhibitor TTX-MC138, which consists of an anti-miR10b antagomir conjugated to ultrasmall iron oxide nanoparticles, chelated with 1,4,7-triazacyclononane,1-glutaric acid-4,7 acetic acid (NODAGA) and radiolabeled with the radiotracer copper Cu 64, that may be used as an imaging agent for miR-10b-overexpressing tumor cells upon positron emission tomography (PET)-magnetic resonance imaging (PET-MRI). Upon administration of copper Cu 64 NODAGA-TTX-MC138, the TTX-MC138 moiety targets and binds to miR-10b inside tumor cells. This allows for visualization of miR-10b-overexpressing tumor cells upon imaging with PET-MRI. miR-10b, a mRNA that is highly expressed in a variety of metastatic tumor cells, plays a key role in tumor cell migration, invasion and metastasis.",Copper Cu 64 NODAGA-TTX-MC138,"Indicator, Reagent, or Diagnostic Aid|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C201282,C28227|C203828,T-cell Engaging Bispecific Antibody|T-cell-engaging Bispecific Antibody|TCE BsAb,Any bispecific antibody that simultaneously binds to the CD3 subunit within the T-cell receptor (TCR) complex expressed on T-cells and a tumor-associated antigen (TAA) expressed on tumor cells.,T-cell Engaging Bispecific Antibody,"Amino Acid, Peptide, or Protein",CTRP Agent Terminology|CTRP Terminology
C201688,C307,siRNA Therapeutic Agent|Short Interfering RNA Therapeutic|Small Interfering RNA Therapeutic|siRNA-based Agent,Any agent that is based on small interfering RNA (siRNA).,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",
C20181,,Conceptual Entity,An organizational header for concepts representing mostly abstract entities.,,Classification,
C201982,C176586,Dual-activating Polyvalent STING Agonist ONM-501|ONM 501|ONM-501|ONM501|PC7A-encapsulated STING Agonist ONM-501|PC7A-encapsulated cGAMP ONM-501|STING-activating Polymer-encapsulated STING Agonist ONM-501,"A nanoparticle-based formulation consisting of the stimulator of interferon genes protein (STING; transmembrane protein 173; TMEM173)-activating, pH-sensitive, polymeric micelles PC7A, loaded with the endogenous STING agonist cGAMP, with potential immunoactivating and antineoplastic activities. Upon intratumoral administration of dual-activating polyvalent STING agonist ONM-501, both the polymer PC7A and the encapsulated cGAMP target and bind to STING, thereby activating the STING pathway in immune cells in the tumor microenvironment (TME). This leads to the production of pro-inflammatory cytokines, including interferons (IFNs), enhances the cross-presentation of tumor-associated antigens (TAAs) by dendritic cells (DCs), and induces a cytotoxic T-lymphocyte (CTL)-mediated immune response against cancer cells. STING, a transmembrane protein that activates immune cells in the TME, plays a key role in the activation of the innate immune system.",Dual-activating Polyvalent STING Agonist ONM-501,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C202248,C61199|C1962|C129820,Lipid Nanoparticle Encapsulated mRNA Encoding Human Single-chain IL-12 ABO2011|ABO 2011|ABO-2011|ABO2011|ABOD 2011|ABOD-2011|ABOD2011|LNP-encapsulated mRNA Encoding IL-12 ABO2011,"A formulation consisting of lipid nanoparticle (LNP)-encapsulated messenger RNA (mRNA) encoding human single-chain interleukin-12 (scIL-12), with potential immunomodulatory and antineoplastic activities. Upon intratumoral injection, the LNP moiety binds to the plasma membrane of nearby cells and releases the scIL-12 mRNA into the cells. The mRNA is then translated by the cellular protein translation machinery to produce scIL-12, which is secreted into the local tumor microenvironment (TME). IL-12 activates the immune system by promoting the secretion of interferon-gamma (IFN-g), activating natural killer cells (NKs), and inducing cytotoxic T-lymphocyte (CTL) responses, which may result in both decreased tumor cell proliferation and enhanced immune-mediated destruction of tumor cells.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C202862,C61078,PLZ4-coated Paclitaxel-loaded Micelle Formulation|PLZ4-coated Paclitaxel-loaded Micelles|PPM|PPMs,"A nanoparticle-based formulation consisting of polymeric micelles encapsulating the taxane paclitaxel that are coated with the bladder cancer-targeting ligand PLZ4, a cyclic peptide with amino acid sequence of QDGRMGF, with potential antineoplastic activity. Upon administration of the PLZ4-coated paclitaxel-loaded micelle formulation, the PLZ4 moiety specifically targets and binds to bladder cancer cells while avoiding normal, healthy cells. This specifically delivers paclitaxel to bladder cancer cells and, due to the acidic conditions in the tumor and the pH-responsive nature of the micelles, paclitaxel is released in the tumor environment. Paclitaxel binds to microtubules, promotes microtubule assembly, and prevents depolymerization, thus interfering with normal mitosis. Compared to the administration of paclitaxel alone, this formulation increases the solubility of paclitaxel, enhances its specific retention in cancer tissue, and increases its therapeutic effect, while decreasing its toxicity. In addition, the micelle formulation and the addition of PLZ4 may allow for the delivery of higher doses of paclitaxel to bladder cancer cells while minimizing systemic toxicity.",PLZ4-coated Paclitaxel-loaded Micelle Formulation,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C203332,C1748,Pegylated Topoisomerase Inhibitor,Any topoisomerase inhibitor in a pegylated formulation.,Pegylated Topoisomerase Inhibitor,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C20368,C16847,Research Technique,Technique used in the laboratory for scientific research.,,Laboratory Procedure,
