Code,Parents,Synonyms,Definition,Display Name,Concept Status,Semantic Type,Concept in Subset
C169048,C390,Nanoparticle-based Manganese-containing Contrast Agent SN132D|MRI Contrast Agent SN132D|Manganese-based Macromolecular Contrast Agent SN132D|Manganese-containing Nanoparticle Contrast Agent SN132D|Nanoparticle-based Contrast Agent with Manganese SN132D|SN132D|SpagoPix,"A contrast agent formulation composed of a polymeric core containing the paramagnetic contrast agent manganese chloride tetrahydrate (MnCl2 4H2O), in which the Mn2+ ions are chelated to phosphonate groups, and covered with a coating layer of covalently attached polyetyleneglycol (PEG)-polymers, that can potentially be used as a contrast enhancer during magnetic resonance imaging (MRI). Upon intravenous administration of the nanoparticle-based manganese-containing contrast agent SN132D, the nanoparticles enhance absorption of the poorly absorbable contrast agent manganese, and selectively accumulates in the tumor microenvironment (TME). Due to the retention of manganese in the TME and its paramagnetic properties, this contrast agent enhances the visualization and detection of tumor cells during MRI.",,,"Indicator, Reagent, or Diagnostic Aid",NCI Drug Dictionary Terminology
C170743,C1291,Liposomal Bcl-2 Antisense Oligonucleotide BP1002|BP 1002|BP-100-1.02|BP-1002|BP1002|L-Bcl-2 Antisense Oligonucleotide BP1002|Liposomal Bcl-2 Antisense BP1002,"A liposomal-based nanoparticle composed of an uncharged P-ethoxy antisense oligodeoxynucleotide (ODN) targeting Bcl-2 mRNA and incorporated in liposomes, with potential antineoplastic activity. Upon administration of liposomal Bcl-2 antisense oligonucleotide BP1002, this agent targets and hybridizes with Bcl-2 mRNA and inhibits the expression of Bcl-2 protein. This may induce tumor cell apoptosis of Bcl2-overexpressing tumor cells and may decrease tumor cell proliferation. Bcl2, a protein involved in regulating programmed cell death, is overexpressed in a wide variety of tumors. It promotes cellular survival and inhibits apoptosis.",,,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C170753,C201688,Lipid Nanoparticle Encapsulating Glutathione S-transferase P siRNA NBF-006|Lipid Nanoparticle Encapsulating GSTP siRNA NBF-006|NBF 006|NBF-006|NBF006|siRNA-based LNP NBF-006|siRNA-based Lipid Nanoparticle NBF-006,"A biodegradable, lyophilized lipid nanoparticle (LNP) encapsulating small interfering ribonucleic acid (siRNA) directed against glutathione S-transferase P (GSTP), with potential antineoplastic activity. Upon administration of LNP encapsulating GSTP siRNA NBF-006, the LNP formulation delivers the siRNA particles to the tumor cells where the GSTP siRNA targets and binds to GSTP mRNA. This results in the inhibition of the translation and expression of GSTP and may inhibit proliferation of KRAS-overexpressing tumor cells. GSTP, an enzyme overexpressed in many tumor cell types, is involved in modulating MAP kinase-related cell-signaling pathways.",,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C173879,C2201|C129825,Encapsulated Rapamycin|Encapsulated Sirolimus|Microencapsulated Rapamycin|eRapa (TM),"An orally bioavailable nanoparticle-based formulation composed of sub-micron particles of the macrolide antibiotic rapamycin incorporated into a pH-sensitive poly(methyl methacrylate) polymer, with potential immunomodulating and antineoplastic activities. Upon oral administration of the encapsulated rapamycin, the nanoparticle specifically delivers rapamycin at the tumor site. Rapamycin binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate a complex that binds to and inhibits the activation of the serine/threonine kinase mammalian target of rapamycin (mTOR), a key regulatory kinase. This may suppress mTORC1 activity. In addition, inhibition of mTOR may modulate central memory CD8 T cells, CD3+/CD56+ natural killer (NK) cells and CD8 T-cell responses. This may kill tumor cells. Compared to the administration of rapamycin alone, this formulation improves oral bioavailability of rapamycin with more consistent rapamycin levels, thereby allowing for administration of lower rapamycin dosage, which improves and minimizes rapamycin's toxicity. Upregulated in some tumors, mTOR is a serine/threonine kinase involved in regulating cellular proliferation, motility, and survival that is located downstream of the PI3K/Akt signaling pathway.",Encapsulated Rapamycin,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C174128,C28681,Multi-antigen-directed Autologous T-cells NEXI-002|Autologous MM-associated Antigens Specific T Cells NEXI-002|NEXI 002|NEXI-002|NEXI-002 T Cells|NEXI002|TAA Primed Antigen-specific CD8+ T Cells NEXI-002,"A preparation of autologous T-cells targeting several multiple myeloma (MM)-associated antigens, with potential immunomodulating and antineoplastic activities. Peripheral blood mononuclear cells (PBMC) from the patient are collected and ex vivo exposed to nanoparticles that mimic antigen-presenting cells (APCs) loaded with multiple MM-associated antigens, including Wilms' tumor 1 (WT1), CD138 (syndecan-1; SDC1), cancer-testis antigen NY-ESO-1 and CS1 (CD319; CRACC; SLAMF7), and are further enriched and expanded ex-vivo before being re-introduced into the patient. Upon administration, the multi-antigen-directed autologous T-cells NEXI-002 are re-introduced into the patient, where they target and kill tumor cells expressing these antigens.",Multi-antigen-directed Autologous T-cells NEXI-002,,Cell|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C175469,C804|C2201,Fenretinide Phospholipid Suspension ST-001|ST 001|ST-001|ST001|nanoFenretinide ST-001,"An intravenous formulation composed of a phospholipid suspension of nanoparticles containing the synthetic retinoid derivative fenretinide, with potential antineoplastic activity. Upon intravenous administration, fenretinide binds to and activates retinoic acid receptors (RARs), thereby inducing cell differentiation and apoptosis in susceptible tumor cell types. Fenretinide also binds to and inhibits the activity of mammalian target of rapamycin (mTOR), which may result in both the induction of tumor cell apoptosis and a decrease in tumor cell proliferation. Independent of RAR activation and mTOR inhibition, this agent may also modulate gene expression that leads to ceramide-induced, caspase-independent programmed cell death (PCD) via effectors such as ganglioside GD3 and reactive oxygen species (ROS).",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C175941,C201688|C129821,Cotsiranib|COTSIRANIB|STP 705|STP-705|STP705,"A polypeptide nanoparticle (PNP)-based small interfering RNA (siRNA) therapeutic directed against transforming growth factor-beta 1 (TGF-beta 1) and cyclo-oxygenase-2 (COX-2), with potential antineoplastic activity. Upon intralesional administration, cotsiranib binds to both TGF-beta 1 and COX-2 messenger RNAs (mRNAs), preventing the translation and expression of TGF-beta 1 and COX-2 proteins. This inhibits TGF-beta 1-mediated signaling and abrogates TGF-beta 1-mediated immunosuppression, which may enhance anti-tumor immunity in the tumor microenvironment (TME) and promote a cytotoxic T-lymphocyte (CTL)-mediated immune response against tumor cells leading to tumor cell death. The inhibition of COX-2 prevents COX-2-mediated signaling, which may result in apoptosis and a reduction in tumor cell proliferation, tumor angiogenesis and metastasis.",Cotsiranib,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C178643,C1904,Nanoparticle SN-38-encapsulated Micelle Formulation SNB-101|Nanoparticle Formulation SNB-101|SN-38-containing Nano-particle SNB-101|SN-38-containing Nano-sized Micelle Formulation SNB-101|SNB 101|SNB-101|SNB101,"A nanoparticle-based formulation consisting of double core-shell (DUCS) micelles containing 7-ethyl-10-hydroxy-camptothecin (SN-38), the active, hydrophobic metabolite of the prodrug irinotecan, with potential antineoplastic activity. Upon intravenous administration, nanoparticle SN-38-encapsulated micelle formulation SNB-101 diffuses into the tumor site and the SN-38 moiety binds to and inhibits topoisomerase I by stabilizing the cleavable complex between topoisomerase I and DNA, which results in DNA breaks, inhibition of DNA replication, and apoptosis. Compared to SN-38 alone, this formulation increases the water solubility of the poorly soluble drug SN-38, and due to the stability of this formulation, it has a much longer circulation time and reduces toxicity to normal, healthy tissues.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology
C179302,C1663,Epstein-Barr Virus gp350-ferritin Nanoparticle Vaccine with Saponin-based Adjuvant|EBV gp350-based Nanoparticle Vaccine|EBV gp350-ferritin Nanoparticle Vaccine with Saponin-based Adjuvant|EBV gp350-ferritin Vaccine|EBV gp350-ferritin Vaccine/Matrix M1|Epstein-Barr Virus gp350-ferritin Nanoparticle Vaccine with Matrix-M1 Adjuvant,"A ferritin-based, nanoparticle vaccine consisting of the Epstein-Barr Virus (EBV) envelop glycoprotein gp350 and a saponin-based adjuvant, with potential immunizing activity against EBV. Upon intramuscular administration of EBV gp350-ferritin nanoparticle vaccine with saponin-based adjuvant, the EBV gp350 may activate both humoral and cellular immune responses which may result in protection against EBV infection. EBV, a ubiquitous human herpes virus, is associated with infectious mononucleosis and various malignancies, including nasopharyngeal carcinoma, Hodgkin disease, non-Hodgkin lymphoma, and other lymphomas.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179581,C2189|C129820,miRNA 193a-3p Mimic INT-1B3|INT 1B3|INT-1B3|INT1B3|Lipid Nanoparticle Encapsulating miR-193a-3p Mimic INT-1B3|microRNA 193a-3p Mimic INT-1B3,"A synthetic microRNA (miRNA) mimic of the endogenous tumor suppressor miR-193a-3p formulated in lipid nanoparticles (LNPs), with potential antineoplastic and immune-activating activities. Upon administration, miRNA-193a-3p mimic INT-1B3 targets tumor cells, binds to its target sequence in mRNA transcripts, which leads to translational repression or mRNA degradation. This inhibits protein expression encoded by that particular mRNA sequence. INT-1B3 is able to downregulate many oncogenic signaling pathways, such as the oncogenic PI3K/Akt and Ras/MAPK pathways, and upregulate the tumor suppressive PTEN pathway. INT-1B3 also modulates the expression of cyclin D1, Mcl-1, K-Ras, c-Kit and TIM-3. In addition, INT-1B3 is able to modulate the tumor microenvironment (TME) through inhibition of CD39/CD73 and by downregulating the adenosine-A2A receptor pathway. This leads to a decrease in immunosuppressive FoxP3/Lag3 regulatory T cells and monocytic myeloid-derived suppressor cells (mMDSCs), increases the maturation of dendritic cells (DCs) and induces a T cell-mediated anti-tumor immune response. Altogether, this may induce cell cycle arrest and  apoptosis, increase cell senescence, and decrease tumor cell proliferation, survival, migration and metastasis.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179607,C1752|C1663,NY-ESO-1 Peptides/Threitolceramide-6-loaded Nanoparticles PORT-3|NY-ESO-1 Peptides/ThrCer6-loaded Nanoparticles PORT-3|NY-ESO-1 Peptides/Threitolceramide-6-encapsulating Nanoparticles PORT-3|Nanoparticles PORT-3|PLGA Nanoparticles Loaded with NY-ESO-1 Peptides/IMM60|PORT 3|PORT-3|PORT3,"An immunomodulating agent and nanovaccine composed of the invariant natural killer T cell (iNKT) agonist, dendritic cell (DC) transactivator, and an alpha-galactosylceramide (a-GalCer) analog threitolceramide-6 (ThrCer6, IMM60) and immunogenic peptides derived from the tumor-associated antigen (TAA) New York Esophageal Squamous Cell Carcinoma-1 (NY-ESO-1) encapsulated within poly(lactic-co-glycolic acid) (PLGA) nanoparticles, with potential immunomodulating and antineoplastic activities. Upon administration of NY-ESO-1 peptides/ThrCer6-loaded nanoparticles PORT-3, ThrCer6 targets and binds to the T-cell receptor on iNKTs, thereby activating the iNKTs. The activated iNKTs activate DCs, resulting in the secretion of a large amount of pro-inflammatory cytokines. The NY-ESO-1 peptides are processed and presented by DCs. Altogether, this induces antigen-specific CD4 and CD8 T cell, and B cell responses, and leads to the induction of a cytotoxic T-lymphocyte (CTL)-mediated immune response against NY-ESO-1-expressing tumor cells. Encapsulating antigens and adjuvants together within the same biodegradable polymeric nanoparticle can enhance T cell responses. NY-ESO-1 is a cancer-testis antigen normally expressed in testicular germ cells and trophoblasts of the placenta and overexpressed in a variety of cancers.",,,Immunologic Factor|Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179620,C179676,mRNA-encoded Anti-Claudin18.2 Monoclonal Antibody BNT141|Anti-CLDN18.2 mRNA-encoded Antibody BNT141|BNT 141|BNT-141|BNT141|RiboMab BNT141|mRNA-encoded Antibody BNT141|rMAB BNT141,"A lipid nanoparticle (LNP) encapsulating a messenger RNA (mRNA) encoding for a monoclonal antibody directed against the tumor-associated antigen (TAA) Claudin18.2 (CLDN18.2; A2 isoform of claudin-18), with potential immunostimulating and antineoplastic activities. Upon administration, mRNA-encoded anti-claudin18.2 monoclonal antibody BNT141 binds to the plasma membrane of cells and releases the mRNA into the cells. The mRNA is then translated by ribosomes to produce the anti-CLDN18.2 monoclonal antibody. The antibody specifically targets, binds to and inhibits CLDN18.2 expressed on tumor cells. This may kill CLDN18.2-expressing tumor cells.  CLDN18.2, a tight junction protein and stomach-specific isoform of claudin-18, is overexpressed on a variety of tumor cells, but its expression in healthy tissues is strictly confined to short-lived differentiated epithelial cells of the gastric mucosa.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179638,C587,Ribocytokine IL-2 BNT153|BNT 153|BNT-153|BNT-153 MRNA|BNT153|Human Interleukin-2 mRNA-encoded BNT153,"A formulation consisting of lipid nanoparticles (LNPs) encapsulating nucleoside-modified messenger RNA (mRNA) encoding the endogenous cytokine interleukin-2 (IL-2), with potential immunostimulating activity. Upon administration, ribocytokine IL-2 BNT153 is taken up by cells and the expressed IL-2 targets and binds to the IL-2 receptor beta subunit (IL2Rb; IL2Rbeta; CD122). The binding of IL-2 to IL2Rb activates IL2Rb-mediated signaling, which activates cytotoxic T-lymphocytes (CTLs) and natural killer (NK) cells, and induces expression of certain cytotoxic cytokines, such as interferon-gamma (IFNg) and transforming growth factor-beta (TGFb). The specific induction of T-cell-mediated cytotoxic immune responses against tumor cells causes tumor cell destruction. IL2Rb plays a key role in the proliferation and activation of effector T-cells.",,,"Amino Acid, Peptide, or Protein|Immunologic Factor",FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179639,C592,Ribocytokine IL-7 BNT152|BNT 152|BNT-152|BNT-152 MRNA|BNT152|Human Interleukin-7 mRNA-encoded BNT152,"A formulation consisting of lipid nanoparticles (LNPs) encapsulating nucleoside-modified messenger RNA (mRNA) encoding the endogenous cytokine interleukin-7 (IL-7), with potential immunostimulating activity. Upon administration, ribocytokine IL-7 BNT152 is taken up by cells and the expressed IL-7 targets and binds to the IL-7 receptor (IL7R). The binding of IL-7 to IL7R activates IL7/IL7R-mediated signaling, which activates B- and T- lymphocytes, may improve immune recovery and activation, and may enhance anti-tumor immune responses.",,,"Amino Acid, Peptide, or Protein|Immunologic Factor",GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C179685,C61199|C1962|C129820,Detalimogene Voraplasmid|DDX Nanoparticles-encapsulated IL-12 and RIG-I Activating DNA Plasmid EG-70|DETALIMOGENE VORAPLASMID|Dually Derivatized Chitosan Nanoparticles-encapsulated IL-12 and RIG-I Activating DNA Plasmid EG-70|EG 70|EG-70|EG70,"A nanoparticle-based formulation composed of a non-viral plasmid DNA vector encoding the human pro-inflammatory cytokine interleukin-12 (IL-12) and a retinoic acid-inducible gene I protein (RIG-I; DDX58) activating moiety encapsulated in dually derivatized chitosan (DDX) nanoparticles, with potential immunostimulating and antineoplastic activities. Upon intravesical administration of detalimogene voraplasmid, the DDX nanoparticles deliver the IL-12 and RIG-I activating DNA plasmid to the bladder urothelium. This leads to local expression of IL-12 and a RIG-I activating moiety. The increased IL-12 production at the tumor site activates the immune system by promoting the activation of natural killer cells (NKs), inducing secretion of interferon-gamma (IFN-g) and promoting cytotoxic T-lymphocyte (CTL) responses against tumor cells. The RIG-I activating moiety activates the cytosolic RNA receptor RIG-I and induces RIG-I-mediated signaling. This upregulates interferon-alpha (IFN-a) and beta (IFN-b), and induces a potent IFN-mediated innate immune response against the tumor cells. This further induces the activation of NKs and CTLs and induces apoptosis in cancer cells.",,,Pharmacologic Substance,FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C180674,C587,CD122-selective IL-2/Anti-CD25 Antibody-like Fusion Protein ANV419|ANV 419|ANV-419|ANV419|Antibody-like Fusion Protein ANV419|CD122-selective IL-2/Anti-IL-2Ra Antibody Fusion Protein ANV419,"A formulation consisting of lipid nanoparticles (LNPs) encapsulating nucleoside-modified messenger RNA (mRNA) encoding the endogenous cytokine interleukin-2 (IL-2), with potential immunostimulating activity. Upon administration, ribocytokine IL-2 BNT153 is taken up by cells and the expressed IL-2 targets and binds to the IL-2 receptor beta subunit (IL2Rb; IL2Rbeta; CD122). The binding of IL-2 to IL2Rb activates IL2Rb-mediated signaling, which activates cytotoxic T-lymphocytes (CTLs) and natural killer (NK) cells, and induces expression of certain cytotoxic cytokines, such as interferon-gamma (IFNg) and transforming growth factor-beta (TGFb). The specific induction of T-cell-mediated cytotoxic immune responses against tumor cells causes tumor cell destruction. IL2Rb plays a key role in the proliferation and activation of effector T-cells.",,,"Amino Acid, Peptide, or Protein|Immunologic Factor",GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C180692,C177176,Nanoparticles Encapsulating TLR7 Agonist 1v270 MBS8|DOPE-PEG2000/1v270 Micelles MBS8|MBS 8|MBS-8|MBS8|MBS8(1V270)|TLR7 Agonist 1v270-containing Micelles MBS8,"A micelle nanoparticle formulation composed of the Toll-Like receptor 7 (TLR7) agonist phospholipid conjugate 1v270 encapsulated within 1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine (DOPE)-polyethylene glycol (PEG)-2000, with potential immunostimulating activity. Upon intravenous administration of the nanoparticles encapsulating TLR7 agonist 1v270 MBS8, the TLR7 agonist targets, binds to and activates TLR7, thereby stimulating dendritic cells (DCs) and neutrophils, and enhancing natural killer cell (NK) cytotoxicity. This activation results in the production of pro-inflammatory cytokines, including interferon alpha. MBS8 may activate cytotoxic T-lymphocyte (CTL)-mediated anti-tumor immune responses leading to tumor cell lysis. In addition, MBS8 is able to stimulate immune memory T-cells to further recognize and eliminate cancer cells. TLR7 is a member of the TLR family, which plays a fundamental role in pathogen recognition and the activation of innate immunity. The micelle formulation was engineered to reduce systemic cytokine production which may lower systemic toxicity. production which may lower systemic toxicity.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C184380,C129821,Anti-TGF-beta 1/Anti-COX-2 siRNAs STP707|Anti-TGF-beta 1/Anti-COX-2 siRNA Oligonucleotides STP707|Anti-TGF-beta 1/COX-2 siRNAs STP707|STP 707|STP-707|STP707,"A polypeptide nanoparticle (PNP)-based therapeutic comprised of two small interfering RNA (siRNA) oligonucleotides directed against transforming growth factor-beta 1 (TGF-beta 1) and cyclo-oxygenase-2 (COX-2), with potential immunomodulating and antineoplastic activities. Upon intravenous administration, anti-TGF-beta 1/anti-COX-2 siRNAs STP707 binds to both TGF-beta 1 and COX-2 messenger RNAs (mRNAs), preventing the translation and expression of TGF-beta 1 and COX-2 proteins. This inhibits TGF-beta 1-mediated signaling and abrogates TGF-beta 1-mediated immunosuppression, which may enhance anti-tumor immunity in the tumor microenvironment (TME) and promote a cytotoxic T-lymphocyte (CTL)-mediated immune response against tumor cells leading to tumor cell death. The inhibition of COX-2 prevents COX-2-mediated signaling, which may result in apoptosis and a reduction in tumor cell proliferation, tumor angiogenesis and metastasis.",Anti-TGF-beta 1/Anti-COX-2 siRNAs STP707,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C185869,C181141,Lipid Nanoparticle-encapsulated EBV mRNA Vaccine mRNA-1189|Anti-EBV mRNA Vaccine mRNA-1189|LNP-encapsulated EBV mRNA Vaccine mRNA-1189|LNP-encapsulated mRNA-based EBV Vaccine mRNA-1189|mRNA 1189|mRNA-1189|mRNA1189,"A vaccine consisting of a lipid nanoparticle (LNP) encapsulating four messenger RNAs (mRNAs) encoding the Epstein-Barr Virus (EBV) envelope glycoproteins gp42, gp220, gH and gL, with potential immunizing activity against EBV. Upon intramuscular administration of LNP-encapsulated EBV mRNA vaccine mRNA-1189, the LNP binds to the plasma membrane of cells and releases the mRNAs into the cells. The mRNAs are then translated by ribosomes to produce the EBV envelope glycoproteins. This may activate both humoral and cellular immune responses which may result in protection against EBV infection. EBV, a ubiquitous human herpes virus, is associated with infectious mononucleosis and various malignancies, including nasopharyngeal carcinoma, Hodgkin disease, non-Hodgkin lymphoma, and other lymphomas.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187021,C2843|C200114,Pasifolate Exatecan|EC112002|ELU 001|ELU-001|ELU001|FA-CDC ELU001|FR-alpha-targeting CDC ELU001|FR-alpha-targeting Ultrasmall Silica Nanoparticle-drug Conjugate ELU001|Folate-receptor Alpha-targeting C'Dot-drug Conjugate ELU001|Folate-receptor Alpha-targeting Ultrasmall Silica Nanoparticle-drug Conjugate ELU001|Folic-acid Functionalized C'Dot-drug-conjugate ELU001|PASIFOLATE EXATECAN,"A conjugate composed of folic acid analogs and exatecans covalently bound by linkers to the ultrasmall silica-based nanoparticle carrier C'Dot, with potential antineoplastic activity. Upon administration, pasifolate exatecan targets and binds to the human folate receptor 1 (FOLR1; FR-alpha) on FR-alpha-expressing tumor cells. Upon internalization, the camptothecin analog exatecan is released via proteolytic cleavage of the linker and inhibits DNA topoisomerase 1 activity, thereby inhibiting DNA replication and resulting in cell cycle arrest and apoptosis in tumor cells expressing FR-alpha. FR-alpha is a high-affinity folate-binding protein and a member of the folate receptor family; it is overexpressed in various cancer cell types.",Pasifolate Exatecan,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187033,C1291,Akt-1 Antisense Oligonucleotide WGI-0301|Akt-1 AS ODN WGI-0301|Akt-1 Antisense ODN WGI-0301|WGI 0301|WGI-0301|WGI0301,"A lipid nanoparticle preparation of archexin, a 20-mer antisense (AS) oligodeoxynucleotide (ODN) against the proto-oncogene Akt, with potential antineoplastic activity. Upon administration of AS ODN WGI-0301, archexin binds to Akt-1 mRNA, inhibiting translation of the transcript. Suppression of Akt-1 expression may result in the inhibition of the phosphatidylinositol 3-kinase (PI3K)/Akt-mediated signaling. This may inhibit proliferation and induce apoptosis of tumor cells in which Akt-1 is overexpressed. Activation of the PI3K/Akt signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K/Akt signaling may contribute to tumor resistance to a variety of antineoplastic agents.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187083,C29726|C177430,Nanoparticle Formulation CPI-300|CPI 300|CPI-300|CPI300|NCP Platform-based CPI-300|Nanoscale Coordination Polymer-based Formulation CPI-300,"A nanoparticle-based formulation composed of a nanoscale coordination polymer (NCP) complex containing two as of yet undisclosed anti-tumor agents, with potential antineoplastic activities. Upon intravenous administration, nanoparticle formulation CPI-300 delivers the anti-tumor agents to tumor cells, which may lead, through as of yet undisclosed mechanism of actions (MoAs), to specific tumor cell killing and inhibition of proliferation of tumor cells.",Nanoparticle Formulation CPI-300,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCIt Antineoplastic Agent Terminology
C187116,C2843,Polymeric Nanoparticle-conjugated Camptothecin DAN-222|DAN 222|DAN-222|DAN222|Polymeric Nanoparticle-containing Camptothecin DAN-222|Polymeric Nanoparticles DAN-222,"A polymeric nanoparticle formulation of the topoisomerase I inhibitor camptothecin (CPT), an alkaloid isolated from the Chinese tree Camptotheca acuminata, covalently conjugated, via a linker, to a biocompatible polymer scaffold, with potential antineoplastic activity. Upon intravenous administration of polymeric nanoparticle-conjugated CPT DAN-222, the nanoparticles accumulate in tumor tissue and CPT is released from the formulation at the tumor site and taken up by tumor cells. During the S phase of the cell cycle, CPT selectively stabilizes topoisomerase I-DNA covalent complexes, thereby inhibiting religation of topoisomerase I-mediated single-strand DNA breaks and producing potentially lethal double-strand DNA breaks when encountered by the DNA replication machinery. Compared to CPT alone, the nanoparticle formulation has a prolonged half-life and greatly improves the biodistribution of CPT resulting in an accumulation of CPT at the tumor site, which enhances tumor exposure while greatly reducing toxic side effects.",Polymeric Nanoparticle-conjugated Camptothecin DAN-222,,Organic Chemical|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C187124,C211940|C201282|C129822,mRNA-encoded Anti-CD3/Anti-CLDN6 Bispecific Antibody BNT142|Anti-CD3/Anti-CLDN6 mRNA-encoded Antibody BNT142|BNT 142|BNT-142|BNT142|CD3 x CLDN6 mRNA-encoded Antibody BNT142|CD3xCLDN6 RiboMAB-encoding mRNA BNT142|RiboMab BNT142|rMAB BNT142,"A lipid nanoparticle (LNP) encapsulating nucleoside-modified messenger RNA (mRNA) encoding for bispecific antibody directed against the tumor-associated antigen (TAA) Claudin 6 (CLDN6; CLDN-6) and the human T-cell surface antigen CD3, with potential immunostimulating and antineoplastic activities. Upon administration, mRNA-encoded anti-CD3/anti-CLDN6 bispecific antibody BNT142 binds to the plasma membrane of cells and releases the mRNA into the cells. The mRNA is translated and the anti-CD3/anti-CLDN6 bispecific antibody binds to both CD3-expressing T-cells and CLDN6-expressing cancer cells, thereby crosslinking CLDN6-expressing tumor cells and cytotoxic T-lymphocytes (CTLs). This results in the activation and proliferation of T-cells and causes CTL-mediated cell lysis of CLDN6-expressing tumor cells. CLDN6, a transmembrane tight-junction protein and embryonic antigen, is overexpressed on a variety of tumor cells but is not expressed on normal, healthy adult cells.",mRNA-encoded Anti-CD3/Anti-CLDN6 Bispecific Antibody BNT142,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
